DATAFLOW,LAST UPDATE,freq,s_adj,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2020-03,10.4,
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2020-04,14.8,
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2020-05,15.2,
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2020-06,12.6,
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2020-07,12.8,
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2020-08,11.9,
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2020-09,9.3,
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2020-10,8.9,
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2020-11,11.6,
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2020-12,12.1,
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2021-01,12.5,
ESTAT:UNE_RT_M(1.0),19/12/24 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Percentage of population in the labour force,Total,Austria,2021-02,12.6,
